# AUTO-BENCH v1 F6 novelty-stream (H1, the ratchet curve) - per-position log.
# REAL leg: session bench-f6, cap 1.00 USD, tier-0 frontier:gpt-5.4-mini, ledger ~/.auto/spend.jsonl
# stream=evals\bench\f6-stream\stream.jsonl K=8 guard_alpha_milli=100
# tier: bootstrap-record = paid recording via evals/ticket-triage/agent.py (no artifact yet);
#       tier1 = guard proceed, compiled answer, marginal cost 0; tier0-deopt = guard trip, paid
#       frontier answer ingested into the store (the ratchet); abstain/error = honest failures.
# cost_usd_micros: bootstrap = reserved span attr from the store; tier0-deopt = spend-ledger
# delta for this session; tier1 = 0. latency_ms: bootstrap = recorded span duration (real API
# latency); tier0-deopt = the runtime's measured tier-0 wall time; tier1 = one-shot `auto run`
# wall time (process spawn + wasm compile included - the honest one-shot number; see README).
pos,category,text_sha12,distinct_seen,tier,guard_distance,latency_ms,cost_usd_micros,artifact_generation
88,security,3c5b0804dfe3,11,tier1,0.9066,73,0,1
89,security,4ee6f6ed7ed0,11,tier1,0.9045,72,0,1
90,security,45bab5f6ed00,11,tier0-deopt,0.9286,1585,360,1
91,security,2852dbe2ff73,11,tier1,0.9097,70,0,1
92,bug,21e6c02f0cf9,11,tier1,0.0000,71,0,1
93,billing,17cb12f37f2c,11,tier1,0.0000,71,0,1
94,security,5eadfa45d7bf,11,tier1,0.8950,72,0,1
95,feature,16311abe6402,11,tier1,0.8592,71,0,1
96,feature,63ba506c4f68,11,tier1,0.0000,76,0,1
97,feature,85dc8b741c90,11,tier1,0.7923,70,0,1
98,bug,ce3ad56c2cf2,11,tier1,0.0000,71,0,1
99,bug,ce3ad56c2cf2,11,tier1,0.0000,69,0,1
100,feature,68948e3c77c8,11,tier1,0.8936,67,0,1
101,feature,1b3eb767452a,11,tier1,0.8897,352,0,1
102,bug,c95d2df9836c,11,tier1,0.0000,71,0,1
103,feature,16311abe6402,11,tier1,0.8592,70,0,1
104,billing,793f8e241429,11,tier1,0.0000,69,0,1
105,bug,21e6c02f0cf9,11,tier1,0.0000,73,0,1
106,billing,793f8e241429,11,tier1,0.0000,70,0,1
107,security,5415248e02e2,11,tier1,0.9185,69,0,1
108,bug,21e6c02f0cf9,11,tier1,0.0000,72,0,1
109,feature,63ba506c4f68,11,tier1,0.0000,69,0,1
110,billing,cfb98f978d8b,11,tier1,0.8690,69,0,1
111,bug,ce3ad56c2cf2,11,tier1,0.0000,72,0,1
112,bug,c95d2df9836c,11,tier1,0.0000,73,0,1
113,security,77d54dd9a67c,11,tier1,0.8036,74,0,1
114,security,2852dbe2ff73,11,tier1,0.9097,73,0,1
115,feature,68948e3c77c8,11,tier1,0.8936,69,0,1
116,bug,5363b868787f,11,tier1,0.8714,73,0,1
117,billing,3f283840eeb8,11,tier1,0.7901,67,0,1
118,bug,5363b868787f,11,tier1,0.8714,68,0,1
119,feature,85dc8b741c90,11,tier1,0.7923,71,0,1
120,onboarding,65e17160ea68,11,tier1,0.8987,71,0,1
121,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1447,415,1
122,feature,85dc8b741c90,12,tier1,0.7923,68,0,1
123,bug,8f5076b17d0d,12,tier1,0.8792,67,0,1
124,onboarding,65e17160ea68,12,tier1,0.8987,73,0,1
125,billing,17cb12f37f2c,12,tier1,0.0000,72,0,1
126,security,5415248e02e2,12,tier1,0.9185,412,0,1
127,bug,21e6c02f0cf9,12,tier1,0.0000,66,0,1
128,feature,1b3eb767452a,12,tier1,0.8897,69,0,1
129,security,f1e66211864a,12,tier1,0.8814,69,0,1
130,bug,5363b868787f,12,tier1,0.8714,73,0,1
131,feature,68948e3c77c8,12,tier1,0.8936,77,0,1
132,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1404,402,1
133,bug,21e6c02f0cf9,12,tier1,0.0000,67,0,1
134,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1898,757,1
135,security,3c5b0804dfe3,12,tier1,0.9066,69,0,1
136,feature,596a467f9df0,12,tier1,0.0000,77,0,1
137,onboarding,998c4ba59263,12,tier1,0.8780,74,0,1
138,bug,21e6c02f0cf9,12,tier1,0.0000,71,0,1
139,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1913,496,1
140,onboarding,998c4ba59263,12,tier1,0.8780,70,0,1
141,onboarding,6d99f75cb7ae,12,tier1,0.9197,72,0,1
142,security,f1e66211864a,12,tier1,0.8814,374,0,1
143,onboarding,bff272947e20,12,tier1,0.8963,68,0,1
144,feature,1b3eb767452a,12,tier1,0.8897,83,0,1
145,onboarding,8667e6330646,12,tier1,0.8671,74,0,1
146,feature,68948e3c77c8,12,tier1,0.8936,68,0,1
147,onboarding,8962185b2d7f,12,tier1,0.8806,69,0,1
148,onboarding,a0ba6e191d3a,12,tier1,0.9098,74,0,1
149,bug,c95d2df9836c,12,tier1,0.0000,379,0,1
150,security,2852dbe2ff73,12,tier1,0.9097,71,0,1
151,onboarding,98d321080eb1,12,tier1,0.9062,70,0,1
152,bug,7c55b12b6d40,12,tier1,0.8551,70,0,1
153,bug,ce3ad56c2cf2,12,tier1,0.0000,67,0,1
154,onboarding,ac28bf167850,12,tier1,0.9161,73,0,1
155,security,5eadfa45d7bf,12,tier1,0.8950,69,0,1
156,billing,cfb98f978d8b,12,tier1,0.8690,73,0,1
157,onboarding,b5d2e8f9b001,12,tier1,0.8992,71,0,1
158,feature,63ba506c4f68,12,tier1,0.0000,80,0,1
159,feature,596a467f9df0,12,tier1,0.0000,361,0,1
160,onboarding,cce057678045,12,tier1,0.9128,71,0,1
161,feature,63ba506c4f68,12,tier1,0.0000,71,0,1
162,onboarding,65e17160ea68,12,tier1,0.8987,73,0,1
163,bug,7c55b12b6d40,12,tier1,0.8551,76,0,1
164,billing,3f283840eeb8,12,tier1,0.7901,69,0,1
165,security,45bab5f6ed00,12,tier0-deopt,0.9286,1148,108,1
166,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1436,505,1
167,billing,cfb98f978d8b,12,tier1,0.8690,73,0,1
168,billing,cfb98f978d8b,12,tier1,0.8690,76,0,1
169,onboarding,bff272947e20,12,tier1,0.8963,77,0,1
170,bug,c95d2df9836c,12,tier1,0.0000,314,0,1
171,feature,596a467f9df0,12,tier1,0.0000,73,0,1
172,feature,63ba506c4f68,12,tier1,0.0000,71,0,1
173,security,4ee6f6ed7ed0,12,tier1,0.9045,73,0,1
174,bug,21e6c02f0cf9,12,tier1,0.0000,347,0,1
175,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1654,438,1
176,bug,c95d2df9836c,12,tier1,0.0000,545,0,1
177,security,5eadfa45d7bf,12,tier1,0.8950,76,0,1
178,feature,16311abe6402,12,tier1,0.8592,77,0,1
179,onboarding,cce057678045,12,tier1,0.9128,74,0,1
180,security,4ee6f6ed7ed0,12,tier1,0.9045,74,0,1
181,bug,5363b868787f,12,tier1,0.8714,76,0,1
182,billing,17cb12f37f2c,12,tier1,0.0000,75,0,1
183,security,4f493401f33b,12,tier1,0.8988,333,0,1
184,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1812,330,1
185,bug,7c55b12b6d40,12,tier1,0.8551,792,0,1
186,feature,16311abe6402,12,tier1,0.8592,545,0,1
187,bug,21e6c02f0cf9,12,tier1,0.0000,85,0,1
188,security,9c474aa4438c,12,tier1,0.8896,86,0,1
189,feature,68948e3c77c8,12,tier1,0.8936,72,0,1
190,onboarding,8667e6330646,12,tier1,0.8671,75,0,1
191,billing,f08ef09a72b6,12,tier1,0.0000,73,0,1
192,onboarding,998c4ba59263,12,tier1,0.8780,73,0,1
193,billing,f08ef09a72b6,12,tier1,0.0000,294,0,1
194,onboarding,8962185b2d7f,12,tier1,0.8806,68,0,1
195,billing,cfb98f978d8b,12,tier1,0.8690,70,0,1
196,billing,793f8e241429,12,tier1,0.0000,79,0,1
197,security,2852dbe2ff73,12,tier1,0.9097,329,0,1
198,bug,5363b868787f,12,tier1,0.8714,70,0,1
199,security,662c755241d1,12,tier0-deopt,0.9329,1579,455,1
200,billing-fraud,3e24fdaa2019,12,tier1,0.9041,511,0,1
201,billing,f08ef09a72b6,12,tier1,0.0000,69,0,1
202,bug,8f5076b17d0d,12,tier1,0.8792,73,0,1
203,billing-fraud,bb3afbf3fae0,12,tier1,0.8933,67,0,1
204,billing,793f8e241429,12,tier1,0.0000,72,0,1
205,feature,16311abe6402,12,tier1,0.8592,72,0,1
206,billing-fraud,aa4621b71c34,12,tier1,0.9200,70,0,1
207,security,5eadfa45d7bf,12,tier1,0.8950,349,0,1
208,billing-fraud,adec52e9c436,12,tier1,0.8816,73,0,1
209,bug,c95d2df9836c,12,tier1,0.0000,73,0,1
210,billing-fraud,a8c1171b068d,12,tier1,0.9180,70,0,1
211,security,662c755241d1,12,tier0-deopt,0.9329,1536,396,1
212,billing-fraud,f53c48b0f77c,12,tier1,0.9042,381,0,1
213,onboarding,98d321080eb1,12,tier1,0.9062,279,0,1
214,bug,8f5076b17d0d,12,tier1,0.8792,562,0,1
215,billing-fraud,97fc8965221c,12,tier1,0.9148,544,0,1
216,billing-fraud,bc6b900f6708,12,tier1,0.9091,66,0,1
217,bug,21e6c02f0cf9,12,tier1,0.0000,69,0,1
218,security,5415248e02e2,12,tier1,0.9185,66,0,1
219,billing-fraud,e1e33daccb45,12,tier1,0.8895,69,0,1
220,security,2852dbe2ff73,12,tier1,0.9097,68,0,1
221,security,5415248e02e2,12,tier1,0.9185,71,0,1
222,onboarding,bff272947e20,12,tier1,0.8963,314,0,1
223,onboarding,ac28bf167850,12,tier1,0.9161,69,0,1
224,billing-fraud,bb3afbf3fae0,12,tier1,0.8933,74,0,1
225,billing,793f8e241429,12,tier1,0.0000,78,0,1
226,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1838,451,1
227,billing-fraud,bc6b900f6708,12,tier1,0.9091,137,0,1
228,bug,5363b868787f,12,tier1,0.8714,70,0,1
229,billing-fraud,bb3afbf3fae0,12,tier1,0.8933,74,0,1
230,feature,68948e3c77c8,12,tier1,0.8936,72,0,1
231,billing-fraud,efcfd0ceae7e,12,tier1,0.8940,78,0,1
232,bug,ce3ad56c2cf2,12,tier1,0.0000,70,0,1
233,billing-fraud,bc6b900f6708,12,tier1,0.9091,300,0,1
234,security,77d54dd9a67c,12,tier1,0.8036,68,0,1
235,bug,5363b868787f,12,tier1,0.8714,352,0,1
236,security,4ee6f6ed7ed0,12,tier1,0.9045,68,0,1
237,billing-fraud,9ce7474d0b59,12,tier1,0.8933,280,0,1
238,onboarding,a0ba6e191d3a,12,tier1,0.9098,286,0,1
239,onboarding,1c81d31bbc0b,12,tier0-deopt,0.9226,1729,618,1
240,billing-fraud,a4faccf09ec1,12,tier1,0.9102,135,0,1
241,onboarding,998c4ba59263,12,tier1,0.8780,72,0,1
242,billing-fraud,cc8b30748245,12,tier1,0.9156,69,0,1
243,feature,16311abe6402,12,tier1,0.8592,71,0,1
